index,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,SMA_5,SMA_10,SMA_50,SMA_100
2710,002594.SZ,20111128,24.52,25.05,24.38,24.61,24.5,0.11,0.45,31046.67,76715.6981,24.963999999999974,25.586000000000002,22.113999999999983,25.10210000000001
2709,002594.SZ,20111129,25.03,25.14,24.7,24.99,24.61,0.38,1.54,37959.75,94596.1846,24.881999999999973,25.335,22.19119999999998,25.072000000000006
2708,002594.SZ,20111130,24.98,24.99,23.16,23.35,24.99,-1.64,-6.56,55963.57,134547.5662,24.549999999999972,25.027,22.23099999999998,24.997500000000006
2707,002594.SZ,20111201,24.3,24.85,23.73,23.9,23.35,0.55,2.36,49736.5,120475.6057,24.26999999999997,24.763,22.288199999999982,24.906000000000002
2706,002594.SZ,20111202,23.8,24.09,23.06,23.3,23.9,-0.6,-2.51,32722.65,76633.8885,24.02999999999997,24.581000000000003,22.338399999999982,24.805000000000003
2705,002594.SZ,20111205,23.21,23.23,22.0,22.03,23.3,-1.27,-5.45,28549.21,63877.5606,23.51399999999997,24.239000000000004,22.38599999999998,24.689400000000006
2704,002594.SZ,20111206,21.99,22.55,21.99,22.28,22.03,0.25,1.13,22642.86,50403.4615,22.971999999999973,23.927000000000003,22.429999999999982,24.581500000000005
2703,002594.SZ,20111207,22.28,22.59,22.0,22.53,22.28,0.25,1.12,21352.84,47817.0816,22.80799999999997,23.679000000000006,22.46779999999998,24.478500000000007
2702,002594.SZ,20111208,22.61,23.25,21.48,22.91,22.53,0.38,1.69,47623.44,106940.0407,22.609999999999967,23.440000000000005,22.527799999999978,24.392500000000005
2701,002594.SZ,20111209,22.55,22.79,22.26,22.6,22.91,-0.31,-1.35,27342.19,61648.7471,22.46999999999997,23.250000000000004,22.593399999999978,24.306600000000003
2700,002594.SZ,20111212,23.0,24.4,23.0,23.04,22.6,0.44,1.95,57108.72,134749.6172,22.67199999999997,23.093000000000004,22.670199999999976,24.237000000000002
2699,002594.SZ,20111213,22.7,22.76,21.5,22.05,23.04,-0.99,-4.3,33690.93,74647.9824,22.62599999999997,22.799000000000003,22.692199999999975,24.159400000000005
2698,002594.SZ,20111214,22.0,22.49,21.6,21.66,22.05,-0.39,-1.77,30253.92,66729.0575,22.451999999999966,22.630000000000003,22.718399999999978,24.055600000000005
2697,002594.SZ,20111215,21.5,21.5,20.0,20.55,21.66,-1.11,-5.12,31171.44,64718.4357,21.97999999999997,22.295000000000005,22.735199999999978,23.960600000000003
2696,002594.SZ,20111216,20.5,21.5,20.2,21.45,20.55,0.9,4.38,30493.95,63612.934,21.749999999999968,22.110000000000003,22.77819999999998,23.871100000000002
2695,002594.SZ,20111219,21.38,23.16,20.89,22.86,21.45,1.41,6.57,80681.71,181381.1838,21.713999999999967,22.193,22.87359999999998,23.808100000000003
2694,002594.SZ,20111220,22.5,23.19,22.41,22.59,22.86,-0.27,-1.18,43622.03,99402.7195,21.821999999999967,22.224,22.96479999999998,23.740000000000006
2693,002594.SZ,20111221,22.82,22.98,21.18,21.21,22.59,-1.38,-6.11,35454.34,78590.7145,21.73199999999997,22.092000000000002,23.01699999999998,23.675500000000007
2692,002594.SZ,20111222,21.0,22.19,20.2,21.95,21.21,0.74,3.49,46182.19,97561.2336,22.011999999999972,21.996000000000002,23.058999999999983,23.614800000000006
2691,002594.SZ,20111223,21.6,22.6,21.55,21.94,21.95,-0.01,-0.05,37162.63,82163.1794,22.10999999999997,21.93,23.105799999999984,23.54220000000001
2690,002594.SZ,20111226,22.0,22.88,21.84,22.15,21.94,0.21,0.96,41860.53,93804.456,21.96799999999997,21.841,23.155799999999985,23.47970000000001
2689,002594.SZ,20111227,22.0,22.06,21.23,21.72,22.15,-0.43,-1.94,31197.54,67408.2016,21.793999999999972,21.808,23.21819999999999,23.415200000000006
2688,002594.SZ,20111228,21.02,21.93,20.91,21.84,21.72,0.12,0.55,30134.29,64545.8827,21.91999999999997,21.826,23.266799999999986,23.342500000000005
2687,002594.SZ,20111229,21.7,22.48,21.51,22.25,21.84,0.41,1.88,38408.05,85151.9595,21.97999999999997,21.996000000000002,23.332799999999985,23.258600000000005
2686,002594.SZ,20111230,22.39,22.8,22.25,22.8,22.25,0.55,2.47,39896.84,90019.6625,22.15199999999997,22.131000000000004,23.400599999999983,23.180900000000005
2685,002594.SZ,20120104,23.4,23.42,22.27,22.43,22.8,-0.37,-1.62,40996.59,94161.2974,22.20799999999997,22.088000000000005,23.433399999999985,23.105900000000005
2684,002594.SZ,20120105,22.02,22.53,21.49,21.53,22.43,-0.9,-4.01,29059.16,63797.563,22.16999999999997,21.982000000000006,23.439999999999984,23.034900000000007
2683,002594.SZ,20120106,21.3,21.9,21.02,21.88,21.53,0.35,1.63,22513.7,48216.9416,22.17799999999997,22.049000000000003,23.461999999999986,22.99130000000001
2682,002594.SZ,20120109,21.75,22.9,20.4,22.81,21.88,0.93,4.25,47875.23,104956.8142,22.28999999999997,22.135000000000005,23.48519999999998,22.954900000000013
2681,002594.SZ,20120110,22.4,24.2,22.26,23.75,22.81,0.94,4.12,63688.47,149230.0894,22.47999999999997,22.316000000000006,23.52539999999998,22.92790000000001
2680,002594.SZ,20120111,23.51,25.9,23.45,24.35,23.75,0.6,2.53,76042.38,186988.0883,22.86399999999997,22.536000000000005,23.55539999999998,22.906500000000015
2679,002594.SZ,20120112,23.98,25.16,23.86,24.4,24.35,0.05,0.21,58184.29,143948.3909,23.43799999999997,22.804000000000006,23.54059999999998,22.881700000000013
2678,002594.SZ,20120113,24.4,24.79,23.5,23.87,24.4,-0.53,-2.17,44987.85,108629.7686,23.835999999999974,23.007000000000005,23.501599999999982,22.835900000000017
2677,002594.SZ,20120116,23.72,24.75,23.55,23.55,23.87,-0.32,-1.34,49841.32,120408.9373,23.983999999999973,23.137000000000008,23.46579999999998,22.795300000000015
2676,002594.SZ,20120117,23.69,25.45,23.68,25.3,23.55,1.75,7.43,57384.73,141487.1186,24.293999999999972,23.387000000000008,23.470999999999982,22.770400000000016
2675,002594.SZ,20120118,25.29,25.78,24.31,24.67,25.3,-0.63,-2.49,45105.07,112990.1078,24.357999999999972,23.611000000000008,23.477199999999986,22.749100000000016
2674,002594.SZ,20120119,24.56,24.93,23.87,24.22,24.67,-0.45,-1.82,33100.03,80692.1588,24.321999999999974,23.880000000000006,23.47439999999999,22.730200000000014
2673,002594.SZ,20120120,24.3,24.69,24.2,24.32,24.22,0.1,0.41,22150.21,54114.3907,24.41199999999997,24.124000000000006,23.472399999999983,22.710300000000014
2672,002594.SZ,20120130,24.5,24.75,24.11,24.25,24.32,-0.07,-0.29,20746.73,50702.7727,24.55199999999997,24.268000000000008,23.481399999999987,22.686500000000013
2671,002594.SZ,20120131,24.33,24.43,23.3,23.75,24.25,-0.5,-2.06,30486.47,72071.8396,24.241999999999972,24.268000000000008,23.490399999999987,22.666600000000017
2670,002594.SZ,20120201,23.8,23.99,23.4,23.48,23.75,-0.27,-1.14,17325.86,41103.8398,24.003999999999973,24.181000000000004,23.447399999999984,22.641800000000018
2669,002594.SZ,20120202,23.2,24.09,23.2,24.09,23.48,0.61,2.6,27722.28,65966.1987,23.977999999999973,24.150000000000006,23.379199999999983,22.621900000000018
2668,002594.SZ,20120203,24.09,24.46,23.89,24.3,24.09,0.21,0.87,30822.23,74590.1758,23.973999999999975,24.193000000000005,23.33659999999998,22.60890000000002
2667,002594.SZ,20120206,24.29,24.52,23.73,24.03,24.3,-0.27,-1.11,25644.49,61517.7732,23.929999999999975,24.241000000000007,23.28639999999998,22.592000000000027
2666,002594.SZ,20120207,23.94,25.55,23.6,24.81,24.03,0.78,3.25,71684.12,177178.7159,24.141999999999975,24.192000000000004,23.280199999999983,22.592300000000023
2665,002594.SZ,20120208,24.82,26.68,24.63,26.58,24.81,1.77,7.13,116558.69,301837.5222,24.761999999999976,24.383000000000003,23.30279999999998,22.617100000000022
2664,002594.SZ,20120209,26.3,26.8,25.88,26.22,26.58,-0.36,-1.35,74851.18,196563.1408,25.187999999999974,24.583000000000006,23.319199999999977,22.638600000000018
2663,002594.SZ,20120210,26.01,26.22,25.81,25.96,26.22,-0.26,-0.99,40724.58,105740.2432,25.519999999999975,24.747000000000007,23.33819999999998,22.67020000000002
2662,002594.SZ,20120213,25.8,26.5,25.5,26.0,25.96,0.04,0.15,42273.17,109958.2289,25.913999999999977,24.922000000000004,23.35219999999998,22.70210000000002
2661,002594.SZ,20120214,25.82,26.38,25.56,26.06,26.0,0.06,0.23,39010.99,101528.8987,26.163999999999977,25.153000000000006,23.38339999999998,22.72800000000002
2660,002594.SZ,20120215,26.05,26.41,25.84,26.29,26.06,0.23,0.88,44866.58,117460.6724,26.105999999999977,25.434000000000005,23.41699999999998,22.76550000000002
2659,002594.SZ,20120216,26.1,26.52,25.81,25.97,26.29,-0.32,-1.22,44392.36,116198.8603,26.055999999999976,25.622000000000003,23.43659999999998,22.813900000000018
2658,002594.SZ,20120217,26.1,27.14,26.01,26.09,25.97,0.12,0.46,50112.02,132648.0279,26.081999999999976,25.801,23.49139999999998,22.861200000000018
2657,002594.SZ,20120220,26.5,26.5,25.58,25.6,26.09,-0.49,-1.88,41224.07,107147.8411,26.001999999999974,25.958,23.525399999999976,22.90680000000002
2656,002594.SZ,20120221,25.32,25.86,25.3,25.77,25.6,0.17,0.66,26995.85,69059.1584,25.943999999999978,26.053999999999995,23.57479999999998,22.956600000000016
2655,002594.SZ,20120222,25.68,27.1,25.68,26.74,25.77,0.97,3.76,80358.99,214277.5521,26.03399999999998,26.07,23.66899999999998,23.027500000000014
2654,002594.SZ,20120223,26.6,27.18,26.21,26.52,26.74,-0.22,-0.82,44276.47,117920.673,26.143999999999984,26.1,23.753799999999977,23.091900000000013
2653,002594.SZ,20120224,26.61,26.69,26.0,26.52,26.52,0.0,0.0,46983.44,123487.4235,26.229999999999983,26.156,23.83359999999998,23.150700000000015
2652,002594.SZ,20120227,27.75,28.4,26.52,26.57,26.52,0.05,0.19,84438.42,231570.7217,26.423999999999985,26.213,23.906799999999976,23.21730000000002
